Node_ID,Latitude,Longitude,geometry
0,42.472407130841745,89.08753883293676,POINT (42.472407130841745 89.08753883293676)
1,77.04285838459498,83.25398470083343,POINT (77.04285838459498 83.25398470083343)
2,63.919636508684306,88.18496824692568,POINT (63.919636508684306 88.18496824692568)
3,55.919509051822196,86.84482051282947,POINT (55.919509051822196 86.84482051282947)
4,29.36111842654619,77.93699936433255,POINT (29.36111842654619 77.93699936433255)
5,29.35967122017216,87.6562270506935,POINT (29.35967122017216 87.6562270506935)
6,23.485016730091967,62.65477506155759,POINT (23.485016730091967 62.65477506155759)
7,71.97056874649611,65.87948587257435,POINT (71.97056874649611 65.87948587257435)
8,56.06690070459253,61.35681866731614,POINT (56.06690070459253 61.35681866731614)
9,62.48435466776273,69.75990992289793,POINT (62.48435466776273 69.75990992289793)
10,21.23506965774815,71.66031869068446,POINT (21.23506965774815 71.66031869068446)
11,78.19459112971967,68.14047095321688,POINT (78.19459112971967 68.14047095321688)
12,69.94655844802531,84.86212527455788,POINT (69.94655844802531 84.86212527455788)
13,32.74034664069657,70.70259980080768,POINT (32.74034664069657 70.70259980080768)
14,30.909498032426036,68.42803529062142,POINT (30.909498032426036 68.42803529062142)
15,31.00427059120603,76.28088249474746,POINT (31.00427059120603 76.28088249474746)
16,38.254534577572265,64.22772674924288,POINT (38.254534577572265 64.22772674924288)
17,51.48538589793427,84.06590942262119,POINT (51.48538589793427 84.06590942262119)
18,45.916701118526944,62.23651931039313,POINT (45.916701118526944 62.23651931039313)
19,37.47374841188251,89.60660809801553,POINT (37.47374841188251 89.60660809801553)
20,56.71117368334277,83.16734307889972,POINT (56.71117368334277 83.16734307889972)
21,28.36963163912251,65.96147044602517,POINT (28.36963163912251 65.96147044602517)
22,37.528678912113094,60.16566351370807,POINT (37.528678912113094 60.16566351370807)
23,41.9817105976215,84.46384285364502,POINT (41.9817105976215 84.46384285364502)
24,47.364199053022155,81.20572031542852,POINT (47.364199053022155 81.20572031542852)
25,67.11055768358082,81.87021504122961,POINT (67.11055768358082 81.87021504122961)
26,31.980426929501583,83.13811040057837,POINT (31.980426929501583 83.13811040057837)
27,50.8540663048167,62.22133955202271,POINT (50.8540663048167 62.22133955202271)
28,55.54487413172255,70.75397185632818,POINT (55.54487413172255 70.75397185632818)
29,22.787024763199863,63.47607178575389,POINT (22.787024763199863 63.47607178575389)
30,56.4526911140863,85.89310277626781,POINT (56.4526911140863 85.89310277626781)
31,30.23144742123749,78.69894380482674,POINT (30.23144742123749 78.69894380482674)
32,23.903095579116773,69.92694074557947,POINT (23.903095579116773 69.92694074557947)
33,76.93313223519999,61.90675050858071,POINT (76.93313223519999 61.90675050858071)
34,77.93792198447356,69.32946965146986,POINT (77.93792198447356 69.32946965146986)
35,68.50384088698766,69.75549966080241,POINT (68.50384088698766 69.75549966080241)
36,38.27682615040224,81.88818535014192,POINT (38.27682615040224 81.88818535014192)
37,25.86032684038303,79.12672414065639,POINT (25.86032684038303 79.12672414065639)
38,61.053981590729414,86.6163822772898,POINT (61.053981590729414 86.6163822772898)
39,46.40914962437608,74.16644775485848,POINT (46.40914962437608 74.16644775485848)
40,27.32229409068673,63.58782737814905,POINT (27.32229409068673 63.58782737814905)
41,49.71061460667621,81.39734361668985,POINT (49.71061460667621 81.39734361668985)
42,22.063311266913104,82.82355145850693,POINT (22.063311266913104 82.82355145850693)
43,74.55922412472692,76.83831592708489,POINT (74.55922412472692 76.83831592708489)
44,35.52679889600101,83.12901539863682,POINT (35.52679889600101 83.12901539863682)
45,59.75133706123892,74.81386789093172,POINT (59.75133706123892 74.81386789093172)
46,38.70266456536466,75.68198488145983,POINT (38.70266456536466 75.68198488145983)
47,51.20408127066865,72.82623055075649,POINT (51.20408127066865 72.82623055075649)
48,52.80261676059678,60.762573802322855,POINT (52.80261676059678 60.762573802322855)
49,31.091267331531622,63.23674280979913,POINT (31.091267331531622 63.23674280979913)
